voyage_id,file_name,start_time,end_time,duration_h,num_samples,mean_load_kw,max_load_kw,min_load_kw,negative_load_count,missing_value_count,timestamp_gap_count,timestamp_monotonic_increasing,load_identity_max_abs_error_kw,extreme_load_gt_1000kw_count,load_definition,load_scope
voyage_033,5月20日08_00_5月20日18_00.xlsx,2024-05-20T08:00:03,2024-05-20T17:59:33,9.991666666666667,1200,102.17984209916666,558.5223,-109.238,197,0,0,True,1.0000000010279564e-06,0,fuel_cell_total_kw + battery_total_kw,energy_side_equivalent_total_load
voyage_034,5月21日05_00_5月21日11_00.xlsx,2024-05-21T05:00:05,2024-05-21T10:59:05,5.983333333333333,719,193.7801522976356,672.092833,-98.241167,16,0,0,True,1.0000000543186616e-06,0,fuel_cell_total_kw + battery_total_kw,energy_side_equivalent_total_load
voyage_035,5月24日08_00_5月24日19_00.xlsx,2024-05-24T08:00:12,2024-05-24T16:59:42,8.991666666666667,1080,164.35779805833334,669.986,-80.8234,203,0,0,True,1.1368683772161603e-13,0,fuel_cell_total_kw + battery_total_kw,energy_side_equivalent_total_load
voyage_036,5月27日08_00_5月27日19_00.xlsx,2024-05-27T08:00:20,2024-05-27T18:59:50,10.991666666666667,1320,82.03605221136363,448.092667,-64.339667,122,0,0,True,1.0000000543186616e-06,0,fuel_cell_total_kw + battery_total_kw,energy_side_equivalent_total_load
voyage_037,5月29日14_00_5月29日17_00.xlsx,2024-05-29T14:00:26,2024-05-29T16:59:56,2.9916666666666667,360,107.269439725,503.5642,-31.6157,18,0,0,True,1.0000000258969521e-06,0,fuel_cell_total_kw + battery_total_kw,energy_side_equivalent_total_load
voyage_038,5月30日05_00_5月30日17_00.xlsx,2024-05-30T05:00:28,2024-05-30T16:59:28,11.983333333333333,1439,113.72946770674079,539.792267,-138.301667,237,0,0,True,1.0000000543186616e-06,0,fuel_cell_total_kw + battery_total_kw,energy_side_equivalent_total_load
voyage_039,6月4日08_00_6月4日12_00.xlsx,2024-06-04T08:00:12,2024-06-04T11:59:12,3.9833333333333334,479,108.68134691231732,392.301348,1e-06,0,0,0,True,5.684341886080802e-14,0,fuel_cell_total_kw + battery_total_kw,energy_side_equivalent_total_load
voyage_040,6月5日08_00_6月5日19_00.xlsx,2024-06-05T08:00:14,2024-06-05T18:59:44,10.991666666666667,1320,92.29397030984849,549.523067,-1e-06,6,0,0,True,1.0000000543186616e-06,0,fuel_cell_total_kw + battery_total_kw,energy_side_equivalent_total_load
voyage_041,6月6日10_00_6月6日21_00.xlsx,2024-06-06T10:00:16,2024-06-06T20:53:46,10.891666666666667,1308,188.3760672721712,848.252533,-1e-06,31,0,0,True,1.0000001111620804e-06,0,fuel_cell_total_kw + battery_total_kw,energy_side_equivalent_total_load
voyage_042,6月7日00_00_6月7日24_00.xlsx,2024-06-07T00:00:18,2024-06-07T23:59:48,23.991666666666667,2880,7.171675337847225,340.30176,-106.960001,232,0,0,True,5.684341886080802e-14,0,fuel_cell_total_kw + battery_total_kw,energy_side_equivalent_total_load
