voyage_id,split,action_id,action_name,q_h2,q_batt,q_soc,q_fc_var,sample_count,transition_count,completed,episode_steps,minimum_soc,final_soc,total_fixed_reward,mean_fixed_reward_per_step,hydrogen_kg,battery_net_energy_kwh,maximum_fc_step_change_kw,first_failure_decision_index,first_failure_execution_index,failure_soc,failure_previous_fc_kw,future_6_loads,solver_status
voyage_039,train,2,balanced,0.25,0.5,20.0,12.0,14371,14370,True,14370,0.5025986334236421,0.5369706680828489,-19780.91547312192,-1.3765424824719499,22.28457001576019,8.130303116303963,0.5909611331684061,,,,,,
voyage_039,train,3,soc_maintenance,0.2,0.45,28.0,18.0,14371,14370,True,14370,0.5058922306903527,0.5461340064136236,-11778.370517052235,-0.8196500011866552,22.609830633095214,2.412379997896746,0.5028668302297774,,,,,,
voyage_039,train,4,strong_soc_recovery,0.3,0.45,50.0,18.0,14371,14370,True,14370,0.5187223060488533,0.5447414934624012,-8946.923127871518,-0.6226112127955127,22.61341620494489,3.2813080794612826,0.795353944200798,,,,,,
voyage_039,train,5,fast_fc_response,0.15,0.8,12.0,1.0,14371,14370,True,14370,0.5302186919343306,0.5360719058328334,-14652.25625213146,-1.019642049556817,22.172610955081776,8.691130760309301,2.8618047592613607,,,,,,
voyage_039,train,6,fc_smoothing,0.15,0.15,8.0,50.0,14371,14370,True,14370,0.3734475851488987,0.6239407520232922,-676693.1662922736,-47.09068658958062,26.075485325075693,-46.13902926253616,0.2694710540534686,,,,,,
voyage_040,train,0,candidate_C,0.25,0.4,12.0,20.0,39571,39570,True,39570,0.44061228192851093,0.5309051985013208,-582443.4696545843,-14.71931942518535,54.56852576374179,11.91515613518076,0.5877465292284114,,,,,,
voyage_040,train,1,hydrogen_economy,0.6,0.15,4.0,2.0,39571,39570,True,39570,0.303846873788689,0.37028341293243777,-6452191.131107606,-163.05764799362157,48.62859403868625,112.14315033016115,1.0120672104246182,,,,,,
voyage_040,train,2,balanced,0.25,0.5,20.0,12.0,39571,39570,True,39570,0.4788596926216275,0.5381608845960036,-170671.3924068687,-4.313151185414927,55.17916418642515,7.387608012094761,0.986477409726433,,,,,,
voyage_040,train,3,soc_maintenance,0.2,0.45,28.0,18.0,39571,39570,True,39570,0.4711844438296368,0.545736430200067,-305684.58875134605,-7.725160190835129,55.50884734711501,2.660467555159152,0.9905272926944235,,,,,,
voyage_040,train,4,strong_soc_recovery,0.3,0.45,50.0,18.0,39571,39570,True,39570,0.48507546455344086,0.544842313870634,-173619.25681934005,-4.387648643400052,55.72224808579503,3.218396144721464,1.388435430772347,,,,,,
voyage_040,train,5,fast_fc_response,0.15,0.8,12.0,1.0,39571,39570,True,39570,0.5283641453671236,0.5363384983332784,-44529.24121612776,-1.125328309732822,54.56938826841495,8.52477704003511,6.844110551355811,,,,,,
voyage_040,train,6,fc_smoothing,0.15,0.15,8.0,50.0,39571,39570,True,39570,0.3210593947712224,0.5328125760767544,-2905961.650907606,-73.43850520362916,54.816931771961826,10.724952528105854,0.2908332036518573,,,,,,
voyage_041,train,0,candidate_C,0.25,0.4,12.0,20.0,39211,39210,False,6899,,,,,,,,6899,6900,0.2006582251725735,560.0,"[849.2191927818819,848.693087941673,848.0358381007062,847.2575560688773,846.3683546560812,845.3783466722142]",primal infeasible
voyage_041,train,1,hydrogen_economy,0.6,0.15,4.0,2.0,39211,39210,False,6280,,,,,,,,6280,6281,0.2005756110951186,559.9999999999999,"[809.9216558014413,808.74529808218,807.600552708593,806.4911590238147,805.4208563709803,804.3933840932254]",primal infeasible
voyage_041,train,2,balanced,0.25,0.5,20.0,12.0,39211,39210,False,7642,,,,,,,,7642,7643,0.200470010980598,560.0,"[760.951099841155,761.5144616276573,762.0101883163579,762.4333989806422,762.7792126938947,763.0427485295006]",primal infeasible
voyage_041,train,3,soc_maintenance,0.2,0.45,28.0,18.0,39211,39210,False,7588,,,,,,,,7588,7589,0.20042027721964023,560.0000000000002,"[732.5914025765777,732.631278787091,732.6692985202269,732.7068125845043,732.7455452944214,732.7872209644771]",primal infeasible
voyage_041,train,4,strong_soc_recovery,0.3,0.45,50.0,18.0,39211,39210,False,7784,,,,,,,,7784,7785,0.20047004863616769,560.0000000000002,"[744.0809727141373,743.1284889905216,742.2281791553637,741.3879464161314,740.6156939802928,739.919325055316]",primal infeasible
voyage_041,train,5,fast_fc_response,0.15,0.8,12.0,1.0,39211,39210,False,8132,,,,,,,,8132,8133,0.20060924926762502,560.0,"[800.4134321221018,800.6506704244731,800.8849653034109,801.1146253831921,801.3379592880949,801.5532756423959]",primal infeasible
