voyage_id,split,action_id,action_name,q_h2,q_batt,q_soc,q_fc_var,weights,sample_count,transition_count,completed,episode_steps,minimum_soc,final_soc,total_fixed_reward,mean_fixed_reward_per_step,hydrogen_kg,battery_net_energy_kwh,maximum_fc_step_change_kw,failure_decision_index,failure_execution_index,failure_soc,failure_previous_fc_kw,future_6_loads_kw,solver_status,partial_minimum_soc,partial_last_soc,partial_mean_soc,partial_total_fixed_reward,partial_mean_fixed_reward_per_step,partial_hydrogen_kg,partial_battery_net_energy_kwh,partial_maximum_fc_step_change_kw
voyage_041,train,4,soc_recovery_fast,0.15,0.35,30.0,5.0,"[0.15,0.35,30.0,5.0]",39211,39210,False,8026,,,,,,,,8026,8027,0.20057939855415016,559.9999999999998,"[790.3279902812453,791.4670363660368,792.6018158912062,793.7296186525903,794.8477344460243,795.9534530673453]",primal infeasible,0.20057939855415016,0.20057939855415016,0.45852679335399377,-796230.7413516816,-99.20642179811632,35.722124287257294,218.03845530220906,2.2570812808965
voyage_041,train,5,soc_recovery,0.15,0.35,20.0,12.0,"[0.15,0.35,20.0,12.0]",39211,39210,False,7636,,,,,,,,7636,7637,0.20047558886854844,560.0000000000002,"[756.4239239587738,757.2905968731623,758.1189202494411,758.9040131609952,759.6409946812091,760.3249838834673]",primal infeasible,0.20047558886854844,0.20047558886854844,0.45386094094808843,-803582.7852590453,-105.23609026441139,31.03017330132742,218.10323254602554,1.369327466093182
voyage_041,train,6,strong_soc_recovery,0.1,0.3,40.0,5.0,"[0.1,0.3,40.0,5.0]",39211,39210,False,8077,,,,,,,,8077,8078,0.20063906223079117,559.9999999999998,"[810.3973513601669,809.8849130373462,809.3552650445436,808.8108785482749,808.254224715056,807.687774711403]",primal infeasible,0.20063906223079117,0.20063906223079117,0.460876732557481,-786914.5404211333,-97.42658665607692,36.361226867242245,218.00122516798544,2.5296007949027626
voyage_044,train,0,candidate_C,0.25,0.4,12.0,20.0,"[0.25,0.4,12.0,20.0]",10771,10770,False,4479,,,,,,,,4479,4480,0.20113850479051562,560.0,"[1002.704184890374,1002.172894074758,1001.639070860272,1001.1039343921424,1000.568703815596,1000.034598275859]",primal infeasible,0.20113850479051562,0.20113850479051562,0.4827836979261614,-331275.28457979375,-73.96188537168871,9.554611784524575,217.68957301071893,1.110135959202637
voyage_044,train,1,fast_fc_response,0.25,0.6,12.0,5.0,"[0.25,0.6,12.0,5.0]",10771,10770,False,4823,,,,,,,,4823,4824,0.20111233345700935,560.0,"[1007.0161119258504,1007.248613120136,1007.4560290169136,1007.6355300750477,1007.7842867534026,1007.8994695108428]",primal infeasible,0.20111233345700935,0.20111233345700935,0.4820707053053322,-346719.7307190996,-71.88881001847389,15.016746563224567,217.705903922827,1.5672626319347955
voyage_044,train,2,soc_recovery_30,0.15,0.35,30.0,12.0,"[0.15,0.35,30.0,12.0]",10771,10770,False,4838,,,,,,,,4838,4839,0.20098576135034263,560.0000094484631,"[1007.0953038355036,1006.8653225298448,1006.6190104613838,1006.359111622452,1006.0883700053798,1005.809529602498]",primal infeasible,0.20098576135034263,0.20098576135034263,0.48307268158492955,-345850.8221864606,-71.48632124565123,15.202843638047929,217.78488491738804,1.6670483983776876
voyage_044,train,3,soc_recovery_40,0.15,0.35,40.0,12.0,"[0.15,0.35,40.0,12.0]",10771,10770,False,4888,,,,,,,,4888,4889,0.20106630791855043,560.0000000000002,"[1005.836944248594,1005.6173343663183,1005.3435949824676,1005.0168387049632,1004.6410664068364,1004.2208147834116]",primal infeasible,0.20106630791855043,0.20106630791855043,0.4840270822469439,-345257.92381960014,-70.63378146882164,15.988381228058437,217.73462385882453,1.5781680586766242
voyage_044,train,4,soc_recovery_fast,0.15,0.35,30.0,5.0,"[0.15,0.35,30.0,5.0]",10771,10770,False,4956,,,,,,,,4956,4957,0.2011033187371178,559.9999999999998,"[1009.3213239484514,1009.1869816910475,1009.0076559371598,1008.7862702515324,1008.5257481989092,1008.2290133440354]",primal infeasible,0.2011033187371178,0.2011033187371178,0.48512771692921425,-345168.3089456845,-69.64655144182497,17.069722946172146,217.71152910803997,1.6280809299663588
voyage_044,train,5,soc_recovery,0.15,0.35,20.0,12.0,"[0.15,0.35,20.0,12.0]",10771,10770,False,4757,,,,,,,,4757,4758,0.2010634863173229,560.0000000000002,"[1010.0062294498248,1010.2079942547516,1010.3868355808892,1010.5412624326636,1010.669783814501,1010.770908730828]",primal infeasible,0.2010634863173229,0.2010634863173229,0.48203593500492226,-345770.42455600406,-72.6866564128661,13.931075707055998,217.7363845379907,1.5990404963912397
voyage_044,train,6,strong_soc_recovery,0.1,0.3,40.0,5.0,"[0.1,0.3,40.0,5.0]",10771,10770,False,4987,,,,,,,,4987,4988,0.20108192467995833,559.9999999999998,"[997.1153472073375,996.8265999201444,996.5520668441928,996.2909853632998,996.0425928612832,995.80612672196]",primal infeasible,0.20108192467995833,0.20108192467995833,0.4862968313900832,-344775.918439659,-69.13493451767776,17.539949768520664,217.72487899970614,1.7136709989138126
