voyage_id,split,action_id,action_name,q_h2,q_batt,q_soc,q_fc_var,sample_count,transition_count,completed,episode_steps,minimum_soc,final_soc,total_fixed_reward,mean_fixed_reward_per_step,hydrogen_kg,battery_net_energy_kwh,maximum_fc_step_change_kw,first_failure_decision_index,first_failure_execution_index,failure_soc,failure_previous_fc_kw,future_6_loads,solver_status
voyage_003,train,6,economic_discharge,0.5,0.25,6.0,8.0,14370,14369,False,5403,,,,,,,,5403,5404,0.20052994970288895,559.9999999999998,"[793.2618388746153,793.2316483960522,793.2047372756382,793.1807178185732,793.1592023300566,793.1398031152881]",primal infeasible
voyage_004,train,0,candidate_C,0.25,0.4,12.0,20.0,10771,10770,True,10770,0.4015630702570461,0.5470086754241855,-210727.58419607376,-19.566163806506385,47.71124052757667,1.8665865353081803,0.62804221393381,,,,,,solved
voyage_004,train,1,fast_fc_response,0.25,0.6,12.0,5.0,10771,10770,True,10770,0.4522321809599218,0.5320244503017505,-88671.75393330374,-8.233217635404246,47.2378264736969,11.216743011704756,2.101664408756136,,,,,,solved
voyage_004,train,2,medium_response,0.25,0.5,10.0,10.0,10771,10770,True,10770,0.4291471159250466,0.5385136380760339,-143643.55510948476,-13.33737744749162,47.32684742490212,7.167489840556826,1.1337055988297209,,,,,,solved
voyage_004,train,3,balanced,0.25,0.4,10.0,12.0,10771,10770,True,10770,0.4182421931271478,0.5362801154975722,-172688.3143543264,-16.034198175889173,47.339927719490156,8.561207929517769,0.8752872806493883,,,,,,solved
voyage_004,train,4,strong_fc_smoothing,0.25,0.25,12.0,30.0,10771,10770,True,10770,0.3532083665280641,0.5740951509625424,-350061.2197998361,-32.50336302691143,48.520523537852064,-15.03537420062593,0.5063654967242428,,,,,,solved
voyage_004,train,5,soc_recovery,0.15,0.35,20.0,12.0,10771,10770,True,10770,0.4745038422303793,0.5706723130594598,-67464.56318215613,-6.264119144118489,48.77688779375802,-12.899523349104147,1.1750467275645633,,,,,,solved
voyage_004,train,6,economic_discharge,0.5,0.25,6.0,8.0,10771,10770,True,10770,0.3189667503329301,0.46382119790766696,-808780.2221500094,-75.09565665273996,44.68616843677049,53.77557250561696,0.6939026246259345,,,,,,solved
voyage_005,train,0,candidate_C,0.25,0.4,12.0,20.0,25170,25169,True,25169,0.2815758819611516,0.5742646123316814,-1253972.1491224712,-49.822088645654226,99.00765248612223,-15.141118094969348,0.6545344220538709,,,,,,solved
voyage_005,train,1,fast_fc_response,0.25,0.6,12.0,5.0,25170,25169,True,25169,0.3633277175148352,0.5305994610559864,-458194.6911610288,-18.20472371413361,97.01816047685489,12.105936301065835,1.7825672955458458,,,,,,solved
voyage_005,train,2,medium_response,0.25,0.5,10.0,10.0,25170,25169,True,25169,0.3258828100144639,0.5431081612606596,-767738.6266036086,-30.503342469053543,97.59839640922122,4.300507373347778,0.9272808488741049,,,,,,solved
voyage_005,train,3,balanced,0.25,0.4,10.0,12.0,25170,25169,True,25169,0.30710614847716466,0.5513502261401996,-945612.8362667647,-37.57053662309844,98.03578097054681,-0.8425411114872765,0.7373447462086915,,,,,,solved
voyage_005,train,4,strong_fc_smoothing,0.25,0.25,12.0,30.0,25170,25169,True,25169,0.22973093243038845,0.5802010093508415,-2170676.6600750675,-86.2440565805184,99.62242236981186,-18.845429834924605,0.5494745770964755,,,,,,solved
voyage_005,train,5,soc_recovery,0.15,0.35,20.0,12.0,25170,25169,True,25169,0.35748848519563214,0.5624041608810095,-475441.78987562546,-18.88997536158073,98.66242520844564,-7.740196389751498,0.9982978186188802,,,,,,solved
