candidate,family,q_h2,q_batt,q_soc,q_fcvar,regime,segment_id,start,completed,failure_step,steps,reward_per_step,min_soc,final_soc,h2_kg_h,battery_net_discharge_kwh,battery_throughput_kwh,fc_tv_kw,fc_tv_kw_h,mean_fc_kw,fc_ge_590_fraction,first_p_fc_kw,first_p_batt_kw
E1,economy,0.5,0.25,12,12,fluctuating,train_parent_063_01,5010,True,,600,-0.31761146412392927,0.482321263838701,0.482321263838701,17.245639518031055,42.23153136464949,42.56667176978814,175.50371429506396,1053.0222857703839,324.57356498204143,0.0,435.16037458397733,0.5558054160226789
E2,economy,0.4,0.35,20,12,fluctuating,train_parent_063_01,5010,True,,600,-0.2457190234986451,0.4917588601375816,0.4917588601375816,19.271435699571914,36.34247127414929,37.58448411373053,147.92625484858286,887.5575290914971,359.90792552504263,0.0,435.26272249360187,0.45345750639813787
E3,economy,0.35,0.3,30,16,fluctuating,train_parent_063_01,5010,True,,600,-0.23644161773829345,0.4974305581809894,0.4974305581809894,20.512942305958745,32.803331695063115,35.48723783729396,95.87148939736443,575.2289363841866,381.14276299955964,0.0,435.40271743815646,0.3134625618435507
E4,economy,0.5,0.35,30,20,fluctuating,train_parent_063_01,5010,True,,600,-0.24027802349338218,0.4944366000136484,0.4944366000136484,19.85719377668674,34.671561591482764,36.73214572705014,105.3537899754565,632.122739852739,369.93338362104174,0.0,435.36439443646105,0.35178556353895374
E5,economy,0.35,0.4,40,20,fluctuating,train_parent_063_01,5010,True,,600,-0.23462305957703583,0.501435685782671,0.501435685782671,21.3974149898027,30.304132071613235,34.00325822819053,90.33004095175795,541.9802457105477,396.13796074025896,0.0,435.45635132476326,0.25982867523674713
S0,smooth,0.25,0.4,20,30,fluctuating,train_parent_063_01,5010,True,,600,-0.23425404910886868,0.5074795554374577,0.5074795554374577,22.747119378995396,26.53275740702647,32.33883129512462,55.33813920478315,332.0288352286989,418.7662087277795,0.0,435.5686247383825,0.1475552616175264
S1,smooth,0.25,0.5,30,40,fluctuating,train_parent_063_01,5010,True,,600,-0.23431060677453203,0.5091228255340133,0.5091228255340133,23.117092941633732,25.507356866775446,31.92438091239364,50.07864224347094,300.4718534608256,424.9186119692857,0.0,435.5941688777648,0.12201112223522159
S2,smooth,0.2,0.55,50,30,fluctuating,train_parent_063_01,5010,True,,600,-0.2339905640329903,0.5101486399788084,0.5101486399788084,23.349237637286766,24.867248653224443,31.4711263862239,71.07014903513573,426.42089421081437,428.75926125059175,0.0,435.5891011227661,0.12707887723388467
S3,smooth,0.3,0.4,30,40,fluctuating,train_parent_063_01,5010,True,,600,-0.23452299841081478,0.5073721621318342,0.5073721621318342,22.722965418370016,26.599770829735665,32.47968402603338,43.27643565660259,259.6586139396155,418.36412819152434,0.0,435.5788170202654,0.13736297973463252
S4,smooth,0.35,0.5,50,40,fluctuating,train_parent_063_01,5010,True,,600,-0.23434902528657153,0.5068966944660854,0.5068966944660854,22.61619796740111,26.896462653163415,32.528660385775964,53.15787670779298,318.9472602467579,416.58397725095784,0.0,435.5635069330336,0.1526730669664289
S5,smooth,0.2,0.65,60,30,fluctuating,train_parent_063_01,5010,True,,600,-0.2338897348702228,0.5109129133699438,0.5109129133699438,23.522671313228376,24.390342057154488,31.17542700797202,82.98140711171862,497.88844267031175,431.62070082701143,0.0,435.5891255116673,0.12705448833270339
R0,baseline_soc,0.25,0.45,80,8,fluctuating,train_parent_063_01,5010,True,,600,-0.23236640587517926,0.501195406497882,0.501195406497882,21.34775858256315,30.454066345321788,33.094537408149456,221.88517209030363,1331.3110325418218,395.2383550980076,0.0,435.2891420912576,0.4270379087424203
R1,soc,0.2,0.55,80,12,fluctuating,train_parent_063_01,5010,True,,600,-0.23256102142736054,0.5086225390793394,0.5086225390793394,23.00939995832675,25.819535614491354,31.031313149288398,173.35174379679182,1040.110462780751,423.0455394829903,0.0,435.4670335048857,0.24914649511430298
R2,soc,0.15,0.65,80,12,fluctuating,train_parent_063_01,5010,True,,600,-0.23337421474031142,0.5132491882737398,0.5132491882737398,24.06184765659397,22.932506517186944,29.675324664879508,197.38231085392255,1184.2938651235354,440.36771406681663,0.0,435.5180880710186,0.19809192898139827
R3,soc,0.2,0.65,120,12,fluctuating,train_parent_063_01,5010,True,,600,-0.23262959503271843,0.5104130303217776,0.5104130303217776,23.41690329370794,24.70226907921061,30.332101068123322,200.45947794298786,1202.7568676579272,429.74913869467474,0.0,435.46718497382176,0.24899502617824965
R4,soc,0.15,0.8,120,8,fluctuating,train_parent_063_01,5010,True,,600,-0.2354878914902568,0.5171926587517901,0.5171926587517901,24.98470811735843,20.471780938883327,27.65842310877322,340.8058625075919,2044.8351750455513,455.1320675366384,0.0,435.44266776629,0.2735122337099938
R5,soc,0.25,0.6,120,16,fluctuating,train_parent_063_01,5010,True,,600,-0.2327941839820842,0.5074727126436401,0.5074727126436401,22.748274340509404,26.53702731036781,31.58938705278462,144.80531883169186,868.8319129901512,418.74058930773145,0.0,435.4796259370086,0.23655406299138804
F0,baseline_fast,0.15,0.8,12,8,fluctuating,train_parent_063_01,5010,True,,600,-0.2354878914902568,0.5171926587517901,0.5171926587517901,24.98470811735843,20.471780938883327,27.65842310877322,340.8058625075919,2044.8351750455513,455.1320675366384,0.0,435.44266776629,0.2735122337099938
B0,baseline_nominal,0.25,0.4,12,20,high_mean,train_parent_021_01,2790,True,,600,-7.591176543372502,0.4162220514600962,0.4162220514600962,34.095032870567664,83.47743988889997,83.47743988889997,1.77351466845721e-11,1.064108801074326e-10,600.0000000000001,1.0,599.9999999999999,495.21723753000003
B1,balanced,0.25,0.45,30,20,high_mean,train_parent_021_01,2790,True,,600,-7.591176543372349,0.41622205146009744,0.41622205146009744,34.095032870567664,83.47743988889907,83.47743988889907,1.8417267710901797e-11,1.1050360626541078e-10,600.0000000000057,1.0,600.0000000000002,495.2172375299997
B2,balanced,0.25,0.5,50,20,high_mean,train_parent_021_01,2790,True,,600,-7.591176543371399,0.4162220514601048,0.4162220514601048,34.095032870567664,83.47743988889414,83.47743988889414,1.1129941412946209e-10,6.677964847767726e-10,600.0000000000352,1.0,599.9999999999999,495.21723753000003
B3,balanced,0.3,0.45,30,16,high_mean,train_parent_021_01,2790,True,,600,-7.591176543372244,0.4162220514600983,0.4162220514600983,34.095032870567664,83.47743988889856,83.47743988889856,2.8421709430404007e-11,1.7053025658242404e-10,600.0000000000085,1.0,600.0000000000002,495.2172375299997
B4,balanced,0.2,0.5,40,16,high_mean,train_parent_021_01,2790,True,,600,-7.591176543371715,0.41622205146010216,0.41622205146010216,34.095032870567664,83.47743988889617,83.47743988889617,7.219114195322618e-11,4.3314685171935707e-10,600.000000000023,1.0,600.0000000000001,495.2172375299998
B5,balanced,0.3,0.55,50,24,high_mean,train_parent_021_01,2790,True,,600,-7.591176543371677,0.41622205146010244,0.41622205146010244,34.095032870567664,83.477439888896,83.477439888896,8.446932042716071e-11,5.068159225629643e-10,600.000000000024,1.0,600.0000000000002,495.2172375299997
E0,baseline_economy,0.4,0.25,8,8,high_mean,train_parent_021_01,2790,True,,600,-8.155747796676469,0.4140051374900694,0.4140051374900694,33.55625756314427,84.86079420619667,84.86079420619667,41.345558654887895,248.07335192932737,591.69987409622,0.5733333333333334,599.8896360744176,495.32760145558234
E1,economy,0.5,0.25,12,12,high_mean,train_parent_021_01,2790,True,,600,-8.879344106707764,0.4110768622844816,0.4110768622844816,32.8484522948761,86.68803793448369,86.68803793448369,78.36573319830154,470.19439918980925,580.7364117264979,0.34,599.8165912533052,495.4006462766947
E2,economy,0.4,0.35,20,12,high_mean,train_parent_021_01,2790,True,,600,-7.591179897584648,0.4162220383597381,0.4162220383597381,34.095029676240394,83.47744806352343,83.47744806352343,0.0458560404738364,0.2751362428430184,599.9999509522594,1.0,599.9770719797716,495.2401655502283
E3,economy,0.35,0.3,30,16,high_mean,train_parent_021_01,2790,True,,600,-7.591179432899369,0.4162220401663199,0.4162220401663199,34.095030116745995,83.47744693621621,83.47744693621621,0.03836537951644914,0.23019227709869483,599.9999577161027,1.0,599.9808173102608,495.2364202197391
E4,economy,0.5,0.35,30,20,high_mean,train_parent_021_01,2790,True,,600,-7.656136577437416,0.4159680404844064,0.4159680404844064,34.03313082785683,83.6359427377309,83.6359427377309,7.490286246076607,44.941717476459644,599.0489829070146,1.0,599.9776313894608,495.2396061405391
E5,economy,0.35,0.4,40,20,high_mean,train_parent_021_01,2790,True,,600,-7.59117654337192,0.4162220514601009,0.4162220514601009,34.095032870567664,83.47743988889697,83.47743988889697,5.707079253625125e-11,3.424247552175075e-10,600.0000000000182,1.0,600.0000000000001,495.2172375299998
S0,smooth,0.25,0.4,20,30,high_mean,train_parent_021_01,2790,True,,600,-7.591176543372497,0.4162220514600963,0.4162220514600963,34.095032870567664,83.47743988889992,83.47743988889992,9.43600753089413e-12,5.661604518536478e-11,600.0000000000006,1.0,599.9999999999999,495.21723753000003
S1,smooth,0.25,0.5,30,40,high_mean,train_parent_021_01,2790,True,,600,-7.591176543372482,0.41622205146009644,0.41622205146009644,34.095032870567664,83.47743988889978,83.47743988889978,2.432898327242583e-11,1.4597389963455498e-10,600.0000000000014,1.0,600.0000000000002,495.2172375299997
S2,smooth,0.2,0.55,50,30,high_mean,train_parent_021_01,2790,True,,600,-7.5911765433720495,0.4162220514600997,0.4162220514600997,34.095032870567664,83.4774398888975,83.4774398888975,4.718003765447065e-11,2.830802259268239e-10,600.0000000000149,1.0,600.0,495.2172375299999
S3,smooth,0.3,0.4,30,40,high_mean,train_parent_021_01,2790,True,,600,-7.591180017370581,0.41622203789334117,0.41622203789334117,34.095029562516984,83.47744835455514,83.47744835455514,0.047383812994326036,0.2843028779659562,599.9999492060692,1.0,599.9763080935086,495.24092943649134
S4,smooth,0.35,0.5,50,40,high_mean,train_parent_021_01,2790,True,,600,-7.591180424188322,0.41622203630921123,0.41622203630921123,34.095029176251714,83.47744934305213,83.47744934305213,0.05228218779257077,0.3136931267554246,599.9999432750873,1.0,599.9738589061166,495.24337862388336
S5,smooth,0.2,0.65,60,30,high_mean,train_parent_021_01,2790,True,,600,-7.591176543371517,0.4162220514601037,0.4162220514601037,34.095032870567664,83.47743988889502,83.47743988889502,9.401901479577646e-11,5.641140887746587e-10,600.0000000000299,1.0,600.0,495.2172375299999
