dataset_version,voyage_id,load_min_original_30s,load_max_original_30s,load_min_spline_1s,load_max_spline_1s,negative_load_count,negative_load_ratio,original_30s_negative_load_count,original_30s_negative_load_ratio,reconstructed_1s_negative_load_count,reconstructed_1s_negative_load_ratio,above_original_local_max_count,above_original_local_max_ratio,below_original_local_min_count,below_original_local_min_ratio,global_overshoot_count,global_overshoot_ratio,comment
cubic_spline_1s_natural_clipped,voyage_011,0.0,850.99286,0.0,856.2158684719548,0,0.0,0,0.0,0,0.0,3849,0.13839847542339362,3993,0.14357628276581208,6,0.00020854332487574292,local endpoint overshoot present; global original-range overshoot present
cubic_spline_1s_natural_clipped,voyage_012,0.0,401.428267,0.0,405.6619801678165,0,0.0,0,0.0,0,0.0,2035,0.06503467450704675,2062,0.06589754242433926,14,0.00043248586697970404,local endpoint overshoot present; global original-range overshoot present
cubic_spline_1s_natural_clipped,voyage_013,0.0,705.286667,0.0,706.3103941966929,0,0.0,0,0.0,0,0.0,3220,0.08424467584113861,3418,0.0894249385170844,13,0.00032877266634632405,local endpoint overshoot present; global original-range overshoot present
cubic_spline_1s_natural_clipped,voyage_014,0.0,703.746033,0.0,714.8816358863353,0,0.0,0,0.0,0,0.0,2593,0.09333381326038442,2782,0.10013677920956014,13,0.00045231550746320585,local endpoint overshoot present; global original-range overshoot present
cubic_spline_1s_natural_clipped,voyage_015,0.0,785.682467,0.0,806.0846477484042,0,0.0,0,0.0,0,0.0,2138,0.10253704858280178,2084,0.09994724473646348,27,0.001251680496963516,local endpoint overshoot present; global original-range overshoot present
cubic_spline_1s_natural_clipped,voyage_016,0.0,841.6076,0.0,843.047455666382,0,0.0,0,0.0,0,0.0,3137,0.1129148369447844,3627,0.13055215607227702,10,0.0003479350057409276,local endpoint overshoot present; global original-range overshoot present
cubic_spline_1s_natural_clipped,voyage_017,0.0,381.636667,0.0,381.963144637211,0,0.0,0,0.0,0,0.0,1134,0.1092275091504527,1019,0.0981506453477172,9,0.0008379108090494367,local endpoint overshoot present; global original-range overshoot present
cubic_spline_1s_natural_clipped,voyage_018,41.03338000000001,770.075733,40.83492801853531,792.8451677296626,0,0.0,0,0.0,0,0.0,2084,0.12221440300258034,2048,0.1201032136992728,67,0.0037979706365852276,local endpoint overshoot present; global original-range overshoot present
cubic_spline_1s_natural_clipped,voyage_019,0.0,701.068267,0.0,703.5577549255304,0,0.0,0,0.0,0,0.0,4349,0.1250754939461045,4758,0.13683816973915044,16,0.00044480275777709823,local endpoint overshoot present; global original-range overshoot present
cubic_spline_1s_natural_clipped,voyage_020,0.0,733.8372,0.0,758.1825512634994,0,0.0,0,0.0,0,0.0,4231,0.12168186132121596,4976,0.14310776221563948,73,0.0020294125823580107,local endpoint overshoot present; global original-range overshoot present
cubic_spline_1s_natural_clipped,voyage_021,0.0,650.2504,0.0,673.6897792132111,0,0.0,0,0.0,0,0.0,2083,0.1499532071125189,2015,0.1450579511914189,16,0.0011133532809129497,local endpoint overshoot present; global original-range overshoot present
cubic_spline_1s_natural_clipped,voyage_022,0.0,727.0949,0.0,727.8522518081494,0,0.0,0,0.0,0,0.0,4405,0.12700380578941298,4102,0.11826778918233191,8,0.00022295922633148462,local endpoint overshoot present; global original-range overshoot present
cubic_spline_1s_natural_clipped,voyage_023,0.0,826.136333,0.0,835.4006480536092,0,0.0,0,0.0,0,0.0,2414,0.09921499321852781,2708,0.11129834367679092,40,0.0015891303484168288,local endpoint overshoot present; global original-range overshoot present
cubic_spline_1s_natural_clipped,voyage_024,0.0,859.8098,0.0,869.3638270401565,0,0.0,0,0.0,0,0.0,5242,0.15088365666916126,5343,0.15379080075988716,41,0.0011407584652625136,local endpoint overshoot present; global original-range overshoot present
cubic_spline_1s_natural_clipped,voyage_025,0.0,679.946267,0.0,680.3316491673226,0,0.0,0,0.0,0,0.0,4172,0.13332907225719856,4328,0.13831453133488864,4,0.00012356739056562974,local endpoint overshoot present; global original-range overshoot present
