action_id,action_name,battery_charge_energy_kwh,battery_discharge_energy_kwh,battery_throughput_kwh,completed,episode_reward,expected_steps,fc_max_step_kw,fc_variation_rms_kw,final_soc,first_failure_decision_index,first_failure_solve_ms,mean_reward_per_step,mean_solve_ms,minimum_soc,p99_solve_ms,q_batt,q_fc_var,q_h2,q_soc,solved_inaccurate_steps,solver_status,solver_status_class,split,successful_steps,total_h2_kg,voyage_id,weighted_batt,weighted_fc_var,weighted_h2,weighted_soc
1,hydrogen_economy,216.71294084178862,249.12659383599666,465.83953467778525,True,-1031972.0121334583,21570,0.6880936283434096,0.2195119424600305,0.49805504327851885,,,-47.842930557879384,0.050045530688264575,0.3877029839213221,0.08773104986175907,0.25,8.0,0.4,8.0,0,solved,solved,validation,21570,104.50487675531677,voyage_051,336.3511082194491,9.022231610044232,2955.637559022349,1028671.0012346006
2,soc_regulation,209.22119493311558,206.03030978290414,415.25150471601967,True,-160941.29776889228,21570,1.1371989604540431,0.2919717088117132,0.5551135979971293,,,-7.461348992530936,0.054740681965810785,0.46259645171847014,0.10123103624209774,0.45,15.0,0.25,36.0,0,solved,solved,validation,21570,106.54577493296136,voyage_051,253.625855620577,15.96170240069905,3013.358839552761,157658.35137130623
3,fast_fc_response,71.04629387790273,79.74958779358269,150.79588167148543,True,-94728.67673726719,21570,9.371980573957103,0.731244561575915,0.5360524135966623,,,-4.391686450499174,0.04969401525546817,0.481922149127053,0.09673095773905528,0.8,1.0,0.15,12.0,0,solved,solved,validation,21570,105.34928697279834,voyage_051,55.74318143002781,100.12048951872454,2979.5194149660347,91593.29365135281
4,fc_smoothing,527.1582085356991,438.7772462725589,965.9354548082582,True,-2994169.2362025483,21570,0.5515715510090331,0.20364055123172115,0.6916361574729817,,,-138.81174020410515,0.056243228348724174,0.28074445805748194,0.11413109023123992,0.1,40.0,0.25,12.0,0,solved,solved,validation,21570,111.649415220106,voyage_051,1205.4666791635252,7.76472705265225,3157.7014902382275,2989798.3033062327
0,candidate_C,137.84134131343595,142.71364627314392,280.5549875865799,True,-232297.5569146388,14370,0.7158371294358972,0.19522576580860812,0.5421918189748264,,,-16.16545281243137,0.05193817680059992,0.4248325554407464,0.11968602426350086,0.4,20.0,0.25,12.0,0,solved,solved,validation,14370,45.69038906424671,voyage_052,202.33278349716025,4.75421216808125,1292.2289772022812,230798.24094176886
1,hydrogen_economy,88.05344139157465,122.23139726452601,210.28483865610065,True,-341114.4462693903,14370,0.8901788225059306,0.20559666361860054,0.49522763481898757,,,-23.737957290841358,0.37039226238928846,0.4185215726101969,0.8475861675105986,0.25,8.0,0.4,8.0,0,solved,solved,validation,14370,43.84945260761853,voyage_052,154.46891257054222,5.272740701988758,1240.163072705991,339714.54154341033
2,soc_regulation,89.31682839989533,92.44479727889026,181.76162567878563,True,-22660.10682901066,14370,1.3201132983257367,0.2644009227972109,0.5449872293605849,,,-1.5769037459297606,0.4015062629584179,0.48964322570976654,0.9590028878301375,0.45,15.0,0.25,36.0,0,solved,solved,validation,14370,45.53974621801209,voyage_052,89.6246341076243,8.720275828258405,1287.9684520889568,21273.793466985968
3,fast_fc_response,14.741845722803191,23.642861311468103,38.3847070342713,True,-19664.97337475223,14370,6.1629108841836455,0.5888595195892602,0.5357355519412457,,,-1.3684741388136554,0.37188828834018195,0.5237137982373051,0.884778904728591,0.8,1.0,0.15,12.0,0,solved,solved,validation,14370,44.84062749655993,voyage_052,9.028778853049703,43.25414080609841,1268.1957714686873,18344.494683624354
4,fc_smoothing,227.24154106058853,199.86853696793,427.1100780285185,True,-1025983.2359823115,14370,0.47185171075324206,0.17382724416792425,0.5938669937382365,,,-71.39758079208849,0.4668234577875587,0.33528212249965283,1.2387098860926922,0.1,40.0,0.25,12.0,0,solved,solved,validation,14370,47.73531980722569,voyage_052,469.80750295208844,3.7691201251021433,1350.06430795093,1024159.5950512867
0,candidate_C,9.905942365759588,227.94983390259586,237.85577626835544,False,-821945.7086655567,28771,0.47920027426044953,0.16829604664287526,0.20057068663968483,7388,0.3963001072406769,-111.25415656003746,0.3833919205754778,0.20057068663968483,0.9339169086888434,0.4,20.0,0.25,12.0,0,primal infeasible,primal_infeasible,validation,7388,41.82039282327875,voyage_053,169.31360788588486,1.81644493249832,1182.776609079494,820591.8020036581
1,hydrogen_economy,9.683507589856527,227.69217453857456,237.37568212843107,False,-856379.9194092127,28771,0.5847872113907613,0.18340960143927662,0.20062713630012935,7226,0.49530016258358955,-118.5136893729882,0.3940578883718993,0.20062713630012935,0.991449982393533,0.25,8.0,0.4,8.0,0,primal infeasible,primal_infeasible,validation,7226,39.87182362297067,voyage_053,176.08588178309148,2.1100347726582114,1127.6666037574082,855074.0568889007
2,soc_regulation,29.163992868864533,247.17234154838664,276.3363344172512,False,-727606.572361109,28771,0.644931085311157,0.18490583754193607,0.20062764634692065,8292,0.37649995647370815,-87.74801885686311,0.4038751083835007,0.20062764634692065,1.0292629315517843,0.45,15.0,0.25,36.0,0,primal infeasible,primal_infeasible,validation,8292,52.60537683388781,voyage_053,203.40589547924003,2.460979855327665,1487.8006883907915,725912.9047973834
3,fast_fc_response,8.9543483575805,226.9647192639659,235.9190676215464,False,-732399.603528253,28771,3.7745013775936513,0.3758461937579621,0.20062440559874084,8252,0.3861000295728445,-88.75419335049116,0.37424637676702865,0.20062440559874084,0.9172979998402297,0.8,1.0,0.15,12.0,0,primal infeasible,primal_infeasible,validation,8252,51.93913379729803,voyage_053,180.69652071543786,10.118754357309815,1468.9578075228583,730739.8304456578
4,fc_smoothing,3.0887856618161478,221.1531068069967,224.24189246881286,False,-988246.0975768506,28771,0.4411393237939478,0.1776193524140336,0.20053794688272125,6307,0.3733998164534569,-156.6903595333519,0.4036408763119559,0.20053794688272125,0.9314879914745687,0.1,40.0,0.25,12.0,0,primal infeasible,primal_infeasible,validation,6307,28.530401293077325,voyage_053,183.0201876061455,1.7272329588363036,806.9051727913367,987254.4449834948
0,candidate_C,11.996332978619842,230.05333391626596,242.04966689488583,False,-693914.2403129595,28381,0.6654734526109678,0.17793390164394662,0.2005496779845371,8782,0.32839993946254253,-79.01551358608057,0.3665849139135092,0.2005496779845371,0.901349878404292,0.4,20.0,0.25,12.0,0,primal infeasible,primal_infeasible,validation,8782,26.11000783799478,voyage_054,194.37674077009945,2.4135614322648893,738.450895576997,692978.9991151806
