action_id,action_name,current_load_kw,current_soc,decision_index,delta_p_fc_kw,dual_residual,future_load_kw,h2_kg,load_delta_regime,load_regime,p_batt_first_kw,p_batt_horizon_kw,p_fc_first_kw,p_fc_horizon_kw,previous_batt_kw,previous_fc_kw,previous_fc_regime,previous_load_kw,primal_residual,q_batt,q_fc_var,q_h2,q_soc,reward,soc_horizon,soc_next,soc_predicted,soc_regime,solution_validation_error,solve_ms,solver_iterations,solver_status,solver_status_class,source_split,source_voyage_id,state_id,weighted_batt,weighted_fc_var,weighted_h2,weighted_soc
0,candidate_C,0.0668995116918154,0.25,5007,0.0,1.0922517468339956e-12,"[0.0,0.0,0.0,0.0,0.0,0.0]",0.00883945296644347,rapidly_falling,low,-560.0,"[-560.0000000000013,-560.000000000001,-560.0000000000009,-560.0000000000008,-560.0000000000007,-559.9777375933298]",560.0,"[560.0,560.0,560.0,560.0,560.0,559.9777375933298]",-559.9331004883081,560.0,high,0.4467879472038731,3.6415315207705135e-13,0.4,20.0,0.25,12.0,-431.85450605108736,"[0.2500000000000182,0.25024928774932415,0.25049857549861226,0.2507478632479003,0.2509971509971882,0.2512464387464762,0.25149571658550457]",0.25024928774928773,0.25024928774932415,low,,0.09019998833537102,50,solved,solved,train,voyage_037,probe_003,0.32215647600262987,0.0,0.25,431.2823495750847
1,hydrogen_economy,0.0668995116918154,0.25,5007,1.1368683772161603e-13,2.1282270891724837e-13,"[0.0,0.0,0.0,0.0,0.0,0.0]",0.008839452966443472,rapidly_falling,low,-560.0000000000001,"[-560.0000000000009,-560.0000000000007,-560.0000000000006,-560.0000000000005,-559.9246821769616,-559.8257522781372]",560.0000000000001,"[560.0000000000001,560.0000000000001,560.0000000000001,560.0000000000001,559.9246821769614,559.825752278137]",-559.9331004883081,560.0,high,0.4467879472038731,3.170796958329447e-13,0.25,8.0,0.4,8.0,-431.85450605108736,"[0.2500000000000158,0.2502492877493195,0.2504985754986076,0.25074786324789555,0.2509971509971836,0.2512464052182382,0.251495615399986]",0.25024928774928773,0.2502492877493195,low,,0.08099991828203201,50,solved,solved,train,voyage_037,probe_003,0.32215647600263,1.1219355096476613e-28,0.25,431.2823495750847
2,soc_regulation,0.0668995116918154,0.25,5007,0.0,4.090716212380509e-12,"[0.0,0.0,0.0,0.0,0.0,0.0]",0.00883945296644347,rapidly_falling,low,-560.0,"[-560.0000000000521,-560.0000000000434,-560.0000000000349,-560.0000000000261,-560.0000000000174,-560.0000000000088]",560.0,"[560.0,560.0,560.0,560.0000000000001,560.0,559.9999999999999]",-559.9331004883081,560.0,high,0.4467879472038731,2.1820767415192677e-11,0.45,15.0,0.25,36.0,-431.85450605108736,"[0.250000000001091,0.2502492877514698,0.2504985755007655,0.2507478632500596,0.2509971509993521,0.25124643874864305,0.25149572649793234]",0.25024928774928773,0.2502492877514698,low,,0.10640011169016361,125,solved,solved,train,voyage_037,probe_003,0.32215647600262987,0.0,0.25,431.2823495750847
3,fast_fc_response,0.0668995116918154,0.25,5007,0.0,7.756593861451044e-14,"[0.0,0.0,0.0,0.0,0.0,0.0]",0.00883945296644347,rapidly_falling,low,-560.0,"[-560.0000000000002,-560.0,-560.0,-559.8339737719505,-558.2592998461475,-556.7402850001895]",560.0,"[560.0,559.9999999999999,559.9999999999999,559.8339737719504,558.2592998461475,556.7402850001896]",-559.9331004883081,560.0,high,0.4467879472038731,1.8918200339612667e-13,0.8,1.0,0.15,12.0,-431.85450605108736,"[0.25000000000000944,0.2502492877493066,0.25049857549859467,0.2507478632478826,0.25099707708948354,0.2512455899544436,0.251493426619775]",0.25024928774928773,0.2502492877493066,low,,0.07029995322227478,50,solved,solved,train,voyage_037,probe_003,0.32215647600262987,0.0,0.25,431.2823495750847
4,fc_smoothing,0.0668995116918154,0.25,5007,-4.547473508864641e-13,2.40445001380889e-12,"[0.0,0.0,0.0,0.0,0.0,0.0]",0.008839452966443461,rapidly_falling,low,-559.9999999999995,"[-560.000000000085,-560.0000000000709,-560.0000000000568,-560.0000000000426,-560.0000000000284,-560.0000000000143]",559.9999999999995,"[559.9999999999995,559.9999999999997,559.9999999999997,559.9999999999997,559.9999999999997,560.0000000000001]",-559.9331004883081,560.0,high,0.4467879472038731,2.7361224397282058e-11,0.1,40.0,0.25,12.0,-431.85450605108736,"[0.2500000000013681,0.2502492877520238,0.250498575501322,0.25074786325061804,0.2509971509999121,0.251246438749204,0.2514957264984938]",0.25024928774928773,0.2502492877520238,low,,0.09840005077421665,125,solved,solved,train,voyage_037,probe_003,0.32215647600262937,1.795096815436258e-27,0.24999999999999975,431.2823495750847
0,candidate_C,0.0668995116918154,0.55,5007,-5.222287198421676e-27,7.204009082542633e-24,"[0.0,0.0,0.0,0.0,0.0,0.0]",-7.038910127069471e-32,rapidly_falling,low,5.222287198421676e-27,"[1.1172660621613237e-22,9.34113367206766e-23,7.686978962490887e-23,5.827596459996675e-23,3.755854800608029e-23,1.3468650282333372e-23]",-5.222287198421676e-27,"[-5.222287198421676e-27,1.1346081860950994e-26,-1.908036243927405e-24,-1.9250060187335844e-24,3.347232157541295e-26,5.349929742172411e-24]",0.0668995116918154,0.0,low,0.4467879472038731,4.4428259237752635e-23,0.4,20.0,0.25,12.0,-2.3676658916649574e-55,"[0.55,0.55,0.55,0.55,0.55,0.55,0.55]",0.55,0.55,reference,,0.08779997006058693,50,solved,solved,train,voyage_037,probe_004,2.801639914406529e-59,2.3673857276735168e-55,0.0,0.0
1,hydrogen_economy,0.0668995116918154,0.55,5007,-4.623077652039787e-24,6.504361519475806e-17,"[0.0,0.0,0.0,0.0,0.0,0.0]",-6.231259765454178e-29,rapidly_falling,low,4.623077652039787e-24,"[4.492792115002489e-22,3.6896037884808676e-22,3.082079590682093e-22,2.2673019690811516e-22,1.5443341464618341e-22,8.169630855412116e-23]",-4.623077652039787e-24,"[-4.623077652039787e-24,2.9204792281046077e-24,-9.777007844913471e-24,-2.3697205780616264e-24,-4.752529631678883e-24,-6.762653331290225e-24]",0.0668995116918154,0.0,low,0.4467879472038731,1.607852561685627e-22,0.25,8.0,0.4,8.0,-1.855501415607021e-49,"[0.55,0.55,0.55,0.55,0.55,0.55,0.55]",0.55,0.55,reference,,0.1659998670220375,225,solved,solved,train,voyage_037,probe_004,2.195599829140955e-53,1.855281855624107e-49,0.0,0.0
2,soc_regulation,0.0668995116918154,0.55,5007,2.2676524105448034e-24,2.1816401280658673e-22,"[0.0,0.0,0.0,0.0,0.0,0.0]",3.056477154699846e-29,rapidly_falling,low,-2.2676524105448034e-24,"[3.0284517640795623e-21,2.5266291493780686e-21,2.0230521055230493e-21,1.515746881003797e-21,1.0140305019509998e-21,5.008529166713791e-22]",2.2676524105448034e-24,"[2.2676524105448034e-24,2.2896401933768496e-24,2.2745171264573182e-24,4.5261716853516725e-24,4.4534271207464636e-26,6.3727285976766406e-24]",0.0668995116918154,0.0,low,0.4467879472038731,1.2691420247009297e-21,0.45,15.0,0.25,36.0,-8.64441828669408e-28,"[0.55,0.55,0.55,0.55,0.55,0.55,0.55]",0.55,0.55,reference,,0.07149996235966682,50,solved,solved,train,voyage_037,probe_004,5.282552037156536e-54,4.463756471397272e-50,8.64441828669408e-28,0.0
3,fast_fc_response,0.0668995116918154,0.55,5007,-6.177650987844104e-26,6.221073578879551e-23,"[0.0,0.0,0.0,0.0,0.0,0.0]",-8.32660641739096e-31,rapidly_falling,low,6.177650987844104e-26,"[4.825413226070693e-22,4.034203553378009e-22,3.239671871473565e-22,2.4381766412507065e-22,1.6188872613926188e-22,8.173360447188741e-23]",-6.177650987844104e-26,"[-6.177650987844104e-26,1.3306606258866763e-25,2.8098547243367646e-28,-1.9795747453933833e-25,3.9265596612822855e-25,-4.528644029879572e-25]",0.0668995116918154,0.0,low,0.4467879472038731,3.2434805402527032e-22,0.8,1.0,0.15,12.0,-3.313184731160036e-53,"[0.55,0.55,0.55,0.55,0.55,0.55,0.55]",0.55,0.55,reference,,0.0684000551700592,50,solved,solved,train,voyage_037,probe_004,3.9204647156076626e-57,3.312792684688475e-53,0.0,0.0
4,fc_smoothing,0.0668995116918154,0.55,5007,-8.732858319183866e-25,2.5388625118189084e-17,"[0.0,0.0,0.0,0.0,0.0,0.0]",-1.1770667243223262e-29,rapidly_falling,low,8.732858319183866e-25,"[1.951231204991643e-21,1.626659555314594e-21,1.302635425056104e-21,9.776328277185918e-22,6.535564567855904e-22,3.2406445412241636e-22]",-8.732858319183866e-25,"[-8.732858319183866e-25,8.773086730993882e-25,8.686962792564828e-25,8.558717835875862e-25,-8.427163887229055e-25,2.4199139917131645e-24]",0.0668995116918154,0.0,low,0.4467879472038731,6.265157280104145e-22,0.1,40.0,0.25,12.0,-6.62081941042341e-51,"[0.55,0.55,0.55,0.55,0.55,0.55,0.55]",0.55,0.55,reference,,0.06640003994107246,50,solved,solved,train,voyage_037,probe_004,7.83436209966088e-55,6.620035974213444e-51,0.0,0.0
