parent_voyage,start_time,end_time,abnormal_rows,duration_s,reason,soc_drop_pct,raw_points,min_load_kw,mean_load_kw,mean_fc_kw,mean_battery_kw,speed_min_kn,speed_max_kn,speed_unavailable_points,propulsion_positive_points
3月26日14_00_3月26日16_00,2024-03-26T15:54:57,2024-03-26T15:57:57,7.0,180.0,fc_and_battery_near_zero_with_positive_propulsion_and_soc_drop,0.05833333333332291,7,,,,,,,,
4月9日08_00_4月9日11_00,2024-04-09T10:30:58,2024-04-09T10:35:58,11.0,300.0,fc_and_battery_near_zero_with_positive_propulsion_and_soc_drop,0.13333333333333997,11,,,,,,,,
4月15日08_00_4月15日17_00,2024-04-15T08:33:08,2024-04-15T08:35:08,5.0,120.0,fc_and_battery_near_zero_with_positive_propulsion_and_soc_drop,0.06666666666667709,5,,,,,,,,
4月15日08_00_4月15日17_00,2024-04-15T09:10:38,2024-04-15T09:14:08,8.0,210.0,fc_and_battery_near_zero_with_positive_propulsion_and_soc_drop,0.1416666666666515,8,,,,,,,,
4月15日08_00_4月15日17_00,2024-04-15T09:41:08,2024-04-15T09:44:38,8.0,210.0,fc_and_battery_near_zero_with_positive_propulsion_and_soc_drop,0.13333333333333997,8,,,,,,,,
4月15日08_00_4月15日17_00,2024-04-15T10:39:08,2024-04-15T10:49:08,21.0,600.0,fc_and_battery_near_zero_with_positive_propulsion_and_soc_drop,0.3083333333333158,21,,,,,,,,
4月15日08_00_4月15日17_00,2024-04-15T15:08:08,2024-04-15T15:10:38,6.0,150.0,fc_and_battery_near_zero_with_positive_propulsion_and_soc_drop,0.11666666666666003,6,,,,,,,,
4月15日08_00_4月15日17_00,2024-04-15T16:42:09,2024-04-15T16:45:39,8.0,210.0,fc_and_battery_near_zero_with_positive_propulsion_and_soc_drop,0.12500000000002842,8,,,,,,,,
4月16日08_00_4月16日19_00,2024-04-16T18:44:10,2024-04-16T18:46:40,6.0,150.0,fc_and_battery_near_zero_with_positive_propulsion_and_soc_drop,0.08333333333331439,6,,,,,,,,
4月18日12_00_4月18日18_00,2024-04-18T17:04:13,2024-04-18T17:09:43,12.0,330.0,fc_and_battery_near_zero_with_positive_propulsion_and_soc_drop,0.17500000000001137,12,,,,,,,,
4月22日14_00_4月22日17_00,2024-04-22T14:16:50,2024-04-22T14:18:20,4.0,90.0,fc_and_battery_near_zero_with_positive_propulsion_and_soc_drop,0.07500000000001705,4,,,,,,,,
4月22日14_00_4月22日17_00,2024-04-22T14:21:20,2024-04-22T14:22:20,3.0,60.0,fc_and_battery_near_zero_with_positive_propulsion_and_soc_drop,0.0666666666666913,3,,,,,,,,
4月22日14_00_4月22日17_00,2024-04-22T16:46:20,2024-04-22T16:54:20,17.0,480.0,fc_and_battery_near_zero_with_positive_propulsion_and_soc_drop,0.25833333333334707,17,,,,,,,,
4月24日07_00_4月24日17_00,2024-04-24T13:49:24,2024-04-24T13:50:24,3.0,60.0,fc_and_battery_near_zero_with_positive_propulsion_and_soc_drop,0.05000000000000426,3,,,,,,,,
4月30日08_00_4月30日15_00,2024-04-30T08:27:40,2024-04-30T08:29:10,4.0,90.0,fc_and_battery_near_zero_with_positive_propulsion_and_soc_drop,0.05000000000001137,4,,,,,,,,
4月30日08_00_4月30日15_00,2024-04-30T10:59:40,2024-04-30T11:01:40,5.0,120.0,fc_and_battery_near_zero_with_positive_propulsion_and_soc_drop,0.06666666666666288,5,,,,,,,,
4月30日08_00_4月30日15_00,2024-04-30T14:04:41,2024-04-30T14:10:11,12.0,330.0,fc_and_battery_near_zero_with_positive_propulsion_and_soc_drop,0.1416666666666586,12,,,,,,,,
5月9日08_00_5月9日17_00,2024-05-09T13:48:08,2024-05-09T13:54:38,,390.0,"physical_inconsistency: sustained negative FC_plus_battery balance while moving, propelling, or without stationary evidence",,14,-0.027336999999999993,-0.019622714285714264,0.0,-0.019622714285714264,0.0,0.0,0.0,14.0
5月9日08_00_5月9日17_00,2024-05-09T13:43:08,2024-05-09T13:55:38,26.0,750.0,fc_and_battery_near_zero_with_positive_propulsion_and_soc_drop,0.7833333333333314,26,,,,,,,,
5月9日08_00_5月9日17_00,2024-05-09T13:59:38,2024-05-09T14:07:38,17.0,480.0,fc_and_battery_near_zero_with_positive_propulsion_and_soc_drop,0.19999999999998863,17,,,,,,,,
5月11日08_00_5月11日11_00,2024-05-11T10:20:16,2024-05-11T10:59:46,,2370.0,"physical_inconsistency: sustained negative FC_plus_battery balance while moving, propelling, or without stationary evidence",,80,-107.18073899999999,-104.4300542,0.0,-104.4300542,0.0,1.9,0.0,80.0
5月14日12_00_5月14日19_00,2024-05-14T12:50:23,2024-05-14T12:55:53,,330.0,"physical_inconsistency: sustained negative FC_plus_battery balance while moving, propelling, or without stationary evidence",,12,-15.089120000000008,-8.076950833333335,72.75,-80.82695083333333,0.0,0.0,0.0,12.0
5月14日12_00_5月14日19_00,2024-05-14T13:01:23,2024-05-14T13:04:53,,210.0,"physical_inconsistency: sustained negative FC_plus_battery balance while moving, propelling, or without stationary evidence",,8,-11.627299999999991,-7.796420000000001,72.5,-80.29642000000001,0.0,0.0,0.0,8.0
5月14日12_00_5月14日19_00,2024-05-14T13:05:53,2024-05-14T13:09:23,,210.0,"physical_inconsistency: sustained negative FC_plus_battery balance while moving, propelling, or without stationary evidence",,8,-10.968350000000001,-9.610610000000003,72.875,-82.48561000000001,0.0,0.0,0.0,8.0
5月14日12_00_5月14日19_00,2024-05-14T15:06:23,2024-05-14T15:15:53,,570.0,"physical_inconsistency: sustained negative FC_plus_battery balance while moving, propelling, or without stationary evidence",,20,-121.0018,-81.571,179.7,-261.2710000000001,0.0,6.810526315789474,0.0,20.0
5月14日12_00_5月14日19_00,2024-05-14T15:23:53,2024-05-14T15:36:23,,750.0,"physical_inconsistency: sustained negative FC_plus_battery balance while moving, propelling, or without stationary evidence",,26,-91.68689999999998,-77.97315,171.53846153846155,-249.51161153846155,0.0,5.5,0.0,26.0
