parent,sample_id,timestamp,soc,fc_power_kw,previous_fc_power_kw,battery_power_kw,load_power_kw,recent_load_mean_kw,recent_load_population_std_kw,recent_load_trend_kw_per_s,base_load_kw,recent_delta_soc,delta_load_kw,delta_fc_kw,measured_power_balance_residual_kw,history_sample_count,speed_kn
6月5日08_00_6月5日19_00,zero_boundary_033,2024-06-05 09:46:15+08:00,0.8136666666666666,336.0,338.0,186.948,522.948,526.1966166666667,9.216020858160835,0.02850809523809522,527.0276881800578,-0.004333333333333411,-4.079688180057815,-2.0,-2.842170943040401e-14,6,9.0
6月5日08_00_6月5日19_00,zero_boundary_033,2024-06-05 09:46:45+08:00,0.81275,337.0,336.0,183.0753,520.0753,523.84895,8.66578855053019,0.05245685714285682,525.0569038142745,-0.0045000000000000595,-4.981603814274536,1.0,-2.842170943040401e-14,6,8.5
6月5日08_00_6月5日19_00,zero_boundary_033,2024-06-05 09:47:15+08:00,0.8130000000000001,338.0,337.0,-5.819400000000002,332.1806,493.36896666666667,72.49818225483695,-0.918839238095238,470.38251075067046,-0.0034999999999999476,-138.20191075067044,1.0,2.842170943040401e-14,6,6.9
6月5日08_00_6月5日19_00,zero_boundary_033,2024-06-05 09:47:45+08:00,0.81275,337.0,338.0,13.133699999999996,350.1337,465.9735166666667,88.60248776273001,-1.4599957142857145,436.29573796211747,-0.002666666666666706,-86.1620379621175,-1.0,-1.9539925233402755e-14,6,6.9
6月5日08_00_6月5日19_00,zero_boundary_033,2024-06-05 09:48:15+08:00,0.8131666666666666,337.0,337.0,-0.1098000000000016,336.8902,433.3033333333333,93.87952879120607,-1.628426285714286,408.1173803942886,-0.0012500000000000844,-71.22718039428861,0.0,-5.398459457239824e-15,6,6.8
6月5日08_00_6月5日19_00,zero_boundary_033,2024-06-05 09:48:45+08:00,0.81275,339.0,337.0,5.091099999999997,344.0911,401.05314999999996,85.36432165709414,-1.3579873333333337,389.9679346020845,-0.0009166666666666767,-45.8768346020845,2.0,-1.4210854715202004e-14,6,6.8
6月5日08_00_6月5日19_00,zero_boundary_033,2024-06-05 09:49:15+08:00,0.81325,336.0,339.0,-160.943348,175.056652,343.07125866666667,99.80570189794906,-1.6215288,329.04731497996556,0.000500000000000056,-153.99066297996555,-3.0,0.0,6,6.4
6月5日08_00_6月5日19_00,zero_boundary_033,2024-06-05 09:49:45+08:00,0.8139166666666666,338.0,336.0,-190.9956,147.0044,280.8927753333333,85.32474091115488,-1.3751535657142857,277.4438484512676,0.0009166666666665657,-130.43944845126762,2.0,0.0,6,5.3
6月5日08_00_6月5日19_00,zero_boundary_033,2024-06-05 09:50:15+08:00,0.8149166666666666,338.0,338.0,-192.19226,145.80774,249.83063199999995,94.43715175584602,-1.6764968076190474,240.12913330742026,0.00216666666666665,-94.32139330742027,0.0,0.0,6,4.1
6月5日08_00_6月5日19_00,zero_boundary_033,2024-06-05 09:50:45+08:00,0.8156666666666667,338.0,338.0,-185.0538,152.9462,216.96604866666667,87.89734208936439,-1.4691641257142858,215.4155014624331,0.0025000000000000577,-62.469301462433094,0.0,0.0,6,3.7
6月5日08_00_6月5日19_00,zero_boundary_033,2024-06-05 09:51:15+08:00,0.81675,337.0,338.0,-202.0965,134.9035,183.30159866666668,72.92501301117731,-1.0604438247619046,192.59286992479605,0.0040000000000000036,-57.68936992479604,-1.0,0.0,6,3.7
6月5日08_00_6月5日19_00,zero_boundary_033,2024-06-05 09:51:45+08:00,0.8175,339.0,337.0,-244.8618,94.1382,141.64278199999998,24.4692018070661,-0.4131014285714286,164.68405367332394,0.004249999999999976,-70.54585367332395,2.0,-2.842170943040401e-14,6,2.8
6月5日08_00_6月5日19_00,zero_boundary_033,2024-06-05 09:52:15+08:00,0.8186666666666667,337.0,339.0,-246.0119,90.9881,127.63135666666666,25.376960953340905,-0.43155506666666665,143.79355826953207,0.004750000000000032,-52.80545826953207,-2.0,0.0,6,1.9
6月5日08_00_6月5日19_00,zero_boundary_033,2024-06-05 09:52:45+08:00,0.81975,337.0,337.0,-244.35,92.65,118.57229000000001,26.520184942740627,-0.4689793333333333,129.29596083427478,0.004833333333333356,-36.645960834274774,0.0,0.0,6,1.9
