soc_regime,load_regime,transition_regime,action_id,action_name,state_action_count,mean_p_fc0_kw,mean_p_batt0_kw,mean_soc1,mean_common_cost,mean_soc_deadband_component,winner_count
below_soft_range,load_medium,rapid_fall,2,fc_smoothing,26,354.66377349291935,90.41809522874186,0.4699597568085427,6.399582046730907,3.140280167523133,13
below_soft_range,load_medium,rapid_fall,3,soc_protection,26,358.4691288613841,86.61273833196375,0.46996216455314416,6.593049131694897,3.1379593526010634,0
below_soft_range,load_medium,rapid_rise,0,balanced,26,319.25601880801725,-1.0708596783771027,0.47000055598244406,6.374888817282708,3.1195751178114643,1
below_soft_range,load_medium,rapid_rise,1,hydrogen_economy,26,318.4349010338557,-0.2497416347115415,0.47000011156354493,6.372106157585258,3.1200423368221846,13
below_soft_range,load_medium,rapid_rise,2,fc_smoothing,26,318.87786789841743,-0.6927085308835725,0.47000031535542053,6.371280569308836,3.1198380114405997,12
below_soft_range,load_medium,rapid_rise,3,soc_protection,26,322.38423811009363,-4.199080246074522,0.4700025785167728,6.543863567205452,3.1176689460437523,0
below_soft_range,load_medium,stable,0,balanced,26,444.7697375364723,-77.55520973807376,0.47003460314684997,6.417495734888837,3.102433103071012,13
below_soft_range,load_medium,stable,1,hydrogen_economy,26,443.9242355459292,-76.7097074792372,0.47003414822750145,6.416101258245855,3.1029097968668164,0
below_soft_range,load_medium,stable,2,fc_smoothing,26,444.4489491378848,-77.23442110266086,0.4700343883797599,6.414593050615595,3.102667947452519,13
below_soft_range,load_medium,stable,3,soc_protection,26,447.6933375035693,-80.47881095468627,0.4700365269564107,6.568759282954364,3.1006307289191493,0
inside_soft_range,load_high,rapid_fall,0,balanced,42,599.9172390622474,73.10565876586418,0.549967456639951,0.2555666616409783,1.3011579157513408e-05,0
inside_soft_range,load_high,rapid_fall,1,hydrogen_economy,42,599.4233005446827,73.59959728381457,0.5499672366470691,0.2582328015332846,1.3407833126542717e-05,0
inside_soft_range,load_high,rapid_fall,2,fc_smoothing,42,599.9502515570256,73.07264627142663,0.5499674712322471,0.2555390675680346,1.298687373856252e-05,0
inside_soft_range,load_high,rapid_fall,3,soc_protection,42,599.9951847527607,73.02771306257966,0.5499674972839695,0.2555331486201784,1.2942505973928912e-05,42
inside_soft_range,load_high,rapid_rise,0,balanced,42,514.1601578407061,160.31166142887037,0.5499286364393207,0.2548274156030172,0.00010046734877929856,0
inside_soft_range,load_high,rapid_rise,1,hydrogen_economy,42,513.6834434410581,160.7883758293641,0.549928423979222,0.2566345691297603,0.00010126897190823004,0
inside_soft_range,load_high,rapid_rise,2,fc_smoothing,42,514.1314538859389,160.3403653843842,0.5499286234347684,0.2546788507503225,0.00010065014403827222,12
inside_soft_range,load_high,rapid_rise,3,soc_protection,42,514.4494053802947,160.02241386141787,0.5499287781895437,0.2574973693404284,9.94013789206952e-05,30
inside_soft_range,load_high,stable,0,balanced,42,599.896370788856,54.49326137928299,0.5499757420443876,0.2530972529055617,7.177869215916268e-06,0
inside_soft_range,load_high,stable,1,hydrogen_economy,42,599.4025972530302,54.987034915396265,0.5499755221536796,0.255921816030244,7.474013649859747e-06,0
inside_soft_range,load_high,stable,2,fc_smoothing,42,599.9419150974694,54.44771707092365,0.5499757622416274,0.25304994504112893,7.151538423999326e-06,6
inside_soft_range,load_high,stable,3,soc_protection,42,599.9505289694911,54.43910318915961,0.5499757705801738,0.25304560440575585,7.1380675943911135e-06,36
inside_soft_range,load_low,rapid_fall,0,balanced,39,344.9081576566278,-162.97990039583885,0.5500725513411068,0.16324505256945357,6.404509366539924e-05,0
inside_soft_range,load_low,rapid_fall,1,hydrogen_economy,39,344.4697120006192,-162.54145474068932,0.5500723564155818,0.16708936231920637,6.32793986645533e-05,0
inside_soft_range,load_low,rapid_fall,2,fc_smoothing,39,345.09122548519787,-163.1629682251669,0.5500726330653495,0.1626259094597509,6.437522865379726e-05,39
inside_soft_range,load_low,rapid_fall,3,soc_protection,39,344.43125030078266,-162.5029930118342,0.5500723259030359,0.16760951363617269,6.31344087937492e-05,0
inside_soft_range,load_low,rapid_rise,0,balanced,39,325.594415262667,-161.2268469288105,0.5500717709603458,0.1543453759238213,6.242863197544578e-05,0
inside_soft_range,load_low,rapid_rise,1,hydrogen_economy,39,325.1600030764608,-160.79243474345427,0.5500715778276334,0.15811748034449286,6.167804259935346e-05,0
inside_soft_range,load_low,rapid_rise,2,fc_smoothing,39,325.7756277548893,-161.40805942178255,0.550071851856188,0.15373945510914058,6.27511434586298e-05,39
inside_soft_range,load_low,rapid_rise,3,soc_protection,39,325.1225254076587,-160.754957045946,0.5500715478973589,0.15860968413417292,6.154023826114012e-05,0
inside_soft_range,load_low,stable,0,balanced,39,255.9717234174539,14.220625868085422,0.5499936696153745,0.09806326500961668,4.969621793233621e-07,0
inside_soft_range,load_low,stable,1,hydrogen_economy,39,255.55039177652614,14.641957509088744,0.5499934820346987,0.1003572001429595,5.649438995798835e-07,0
inside_soft_range,load_low,stable,2,fc_smoothing,39,256.03236643445655,14.159982851149685,0.5499936965907589,0.09798684587175689,4.87591182765643e-07,39
inside_soft_range,load_low,stable,3,soc_protection,39,255.93776367780904,14.254585605216903,0.5499936556705369,0.0981339747313829,5.01718378564569e-07,0
inside_soft_range,load_medium,rapid_fall,0,balanced,39,354.4567372219721,90.62513153308441,0.5499596577566243,0.14759899542259314,2.0418750874828223e-05,7
inside_soft_range,load_medium,rapid_fall,1,hydrogen_economy,39,354.0141015977592,91.06776715777576,0.5499594605744326,0.1495459996981541,2.0858129391559586e-05,0
inside_soft_range,load_medium,rapid_fall,2,fc_smoothing,39,354.4693753450403,90.61249341043862,0.5499596632542822,0.1475912246439456,2.0410036212442925e-05,32
inside_soft_range,load_medium,rapid_fall,3,soc_protection,39,354.6090491180026,90.47281962131368,0.549959732903496,0.14774283954927137,2.0240271511702406e-05,0
inside_soft_range,load_medium,rapid_rise,0,balanced,39,318.61153114600336,-0.4263717447705758,0.550000189801681,0.13123585084943054,1.6642845403759023e-05,8
inside_soft_range,load_medium,rapid_rise,1,hydrogen_economy,39,318.1771951750765,0.007964226154320806,0.5499999964546737,0.13380029495197324,1.6638207581003963e-05,0
inside_soft_range,load_medium,rapid_rise,2,fc_smoothing,39,318.68422560868447,-0.49906620745320995,0.55000022216258,0.1310715482501905,1.6696475407516448e-05,31
inside_soft_range,load_medium,rapid_rise,3,soc_protection,39,318.5390526089368,-0.35389320768266774,0.5500001575271792,0.13212216598819873,1.643782753339481e-05,0
inside_soft_range,load_medium,stable,0,balanced,39,444.12735942009647,-76.9128313509186,0.5500342381425646,0.18460862317886703,1.4110510738184127e-05,0
inside_soft_range,load_medium,stable,1,hydrogen_economy,39,443.6673724996834,-76.45284443091099,0.5500340334949809,0.18808488190584455,1.3732060260479795e-05,0
inside_soft_range,load_medium,stable,2,fc_smoothing,39,444.2559417837957,-77.04141371497539,0.5500342954905459,0.18429389227662962,1.421873407768305e-05,39
inside_soft_range,load_medium,stable,3,soc_protection,39,443.86068471197024,-76.64615662953233,0.550034113243059,0.18617707977540138,1.3875178206162343e-05,0
