parent,start_time,end_time,duration_s,point_count,exclusion_reason
4月16日08_00_4月16日19_00,2024-04-16 17:08:40,2024-04-16 18:45:40,5850,195,quality_cut_without_natural_transition
4月16日08_00_4月16日19_00,2024-04-16 18:46:10,2024-04-16 18:49:40,240,8,long_stop_dwell_core
4月16日08_00_4月16日19_00,2024-04-16 18:50:10,2024-04-16 18:50:10,30,1,unexplained_source_load_inconsistency
4月16日08_00_4月16日19_00,2024-04-16 18:50:40,2024-04-16 18:59:40,570,19,confirmed_shore
4月17日07_00_4月17日17_00,2024-04-17 09:00:11,2024-04-17 09:15:41,960,32,confirmed_shore
4月17日07_00_4月17日17_00,2024-04-17 09:16:11,2024-04-17 09:36:41,1260,42,stationary_only_without_sailing_task
4月17日07_00_4月17日17_00,2024-04-17 09:37:11,2024-04-17 09:44:41,480,16,confirmed_shore
4月17日07_00_4月17日17_00,2024-04-17 09:45:11,2024-04-17 09:45:11,30,1,stationary_only_without_sailing_task
4月17日07_00_4月17日17_00,2024-04-17 09:51:41,2024-04-17 11:55:41,7470,249,quality_cut_without_natural_transition
4月17日07_00_4月17日17_00,2024-04-17 11:56:11,2024-04-17 12:31:11,2130,71,ambiguous_external_supply
4月17日07_00_4月17日17_00,2024-04-17 12:31:41,2024-04-17 14:04:11,5580,186,stationary_only_without_sailing_task
4月17日07_00_4月17日17_00,2024-04-17 14:04:41,2024-04-17 14:04:41,30,1,ambiguous_external_supply
4月17日07_00_4月17日17_00,2024-04-17 14:05:11,2024-04-17 16:09:11,7470,249,quality_cut_without_natural_transition
4月17日07_00_4月17日17_00,2024-04-17 16:09:41,2024-04-17 16:11:11,120,4,long_stop_dwell_core
4月17日07_00_4月17日17_00,2024-04-17 16:11:41,2024-04-17 16:11:41,30,1,unexplained_source_load_inconsistency
4月17日07_00_4月17日17_00,2024-04-17 16:12:11,2024-04-17 16:59:41,2880,96,confirmed_shore
4月18日12_00_4月18日18_00,2024-04-18 12:00:13,2024-04-18 12:12:13,750,25,stationary_only_without_sailing_task
4月18日12_00_4月18日18_00,2024-04-18 12:18:43,2024-04-18 15:01:43,9810,327,quality_cut_without_natural_transition
