parent,start_time,end_time,duration_s,sailing_before,sailing_after,bracketed
4月28日08_00_4月28日12_00,2024-04-28 11:30:35,2024-04-28 11:36:05,360,True,False,False
4月28日08_00_4月28日12_00,2024-04-28 11:42:35,2024-04-28 11:59:35,1050,False,False,False
4月29日08_00_4月29日18_00,2024-04-29 08:00:07,2024-04-29 08:18:37,1140,False,False,False
4月29日08_00_4月29日18_00,2024-04-29 08:25:07,2024-04-29 08:31:37,420,False,True,False
4月29日08_00_4月29日18_00,2024-04-29 10:42:37,2024-04-29 13:53:38,11491,True,False,False
4月29日08_00_4月29日18_00,2024-04-29 13:54:38,2024-04-29 13:59:08,300,False,True,False
4月29日08_00_4月29日18_00,2024-04-29 14:14:38,2024-04-29 15:27:08,4380,True,True,True
4月29日08_00_4月29日18_00,2024-04-29 17:18:08,2024-04-29 17:19:38,120,True,True,True
4月29日08_00_4月29日18_00,2024-04-29 17:24:38,2024-04-29 17:58:08,2040,True,False,False
4月30日08_00_4月30日15_00,2024-04-30 08:00:10,2024-04-30 08:19:40,1200,False,False,False
4月30日08_00_4月30日15_00,2024-04-30 08:27:40,2024-04-30 08:47:40,1230,False,True,False
4月30日08_00_4月30日15_00,2024-04-30 10:51:40,2024-04-30 12:12:41,4891,True,True,True
4月30日08_00_4月30日15_00,2024-04-30 12:24:40,2024-04-30 12:26:40,150,True,True,True
4月30日08_00_4月30日15_00,2024-04-30 14:06:11,2024-04-30 14:59:41,3240,True,False,False
5月7日08_00_5月7日18_00,2024-05-07 08:00:00,2024-05-07 08:50:30,3060,False,False,False
5月7日08_00_5月7日18_00,2024-05-07 08:58:00,2024-05-07 08:58:00,30,False,True,False
5月7日08_00_5月7日18_00,2024-05-07 09:41:00,2024-05-07 09:42:00,90,True,True,True
5月7日08_00_5月7日18_00,2024-05-07 11:41:01,2024-05-07 11:44:31,240,True,True,True
5月7日08_00_5月7日18_00,2024-05-07 11:47:01,2024-05-07 11:53:31,420,True,True,True
