time,temp,GHI,GHI90,GHI10,collected
2021-04-13 03:10:00,0,0,0,0,2021-04-12 13:00:00
2021-04-13 03:20:00,0,0,0,0,2021-04-12 13:00:00
2021-04-13 03:30:00,0,0,0,0,2021-04-12 13:00:00
2021-04-13 03:40:00,0,0,0,0,2021-04-12 13:00:00
2021-04-13 03:50:00,0,0,0,0,2021-04-12 13:00:00
2021-04-13 04:00:00,0,0,0,0,2021-04-12 13:00:00
2021-04-13 04:10:00,0,0,0,0,2021-04-12 13:00:00
2021-04-13 04:20:00,0,0,0,0,2021-04-12 13:00:00
2021-04-13 04:30:00,0,0,0,0,2021-04-12 13:00:00
2021-04-13 04:40:00,0,9,16,1,2021-04-12 13:00:00
2021-04-13 04:50:00,0,9,16,1,2021-04-12 13:00:00
2021-04-13 05:00:00,0,9,16,1,2021-04-12 13:00:00
2021-04-13 05:10:00,0,35,61,8,2021-04-12 13:00:00
2021-04-13 05:20:00,0,35,61,8,2021-04-12 13:00:00
2021-04-13 05:30:00,0,35,61,8,2021-04-12 13:00:00
2021-04-13 05:40:00,1,80,132,30,2021-04-12 13:00:00
2021-04-13 05:50:00,1,80,132,30,2021-04-12 13:00:00
2021-04-13 06:00:00,1,80,132,30,2021-04-12 13:00:00
2021-04-13 06:10:00,1,144,209,66,2021-04-12 13:00:00
2021-04-13 06:20:00,1,144,209,66,2021-04-12 13:00:00
2021-04-13 06:30:00,1,144,209,66,2021-04-12 13:00:00
2021-04-13 06:40:00,2,216,279,108,2021-04-12 13:00:00
2021-04-13 06:50:00,2,216,279,108,2021-04-12 13:00:00
2021-04-13 07:00:00,2,216,279,108,2021-04-12 13:00:00
2021-04-13 07:10:00,3,284,348,144,2021-04-12 13:00:00
2021-04-13 07:20:00,3,284,348,144,2021-04-12 13:00:00
2021-04-13 07:30:00,3,284,348,144,2021-04-12 13:00:00
2021-04-13 07:40:00,4,339,414,169,2021-04-12 13:00:00
2021-04-13 07:50:00,4,339,414,169,2021-04-12 13:00:00
2021-04-13 08:00:00,4,339,414,169,2021-04-12 13:00:00
2021-04-13 08:10:00,4,383,475,182,2021-04-12 13:00:00
2021-04-13 08:20:00,4,383,475,182,2021-04-12 13:00:00
2021-04-13 08:30:00,4,383,475,182,2021-04-12 13:00:00
2021-04-13 08:40:00,4,420,529,190,2021-04-12 13:00:00
2021-04-13 08:50:00,4,420,529,190,2021-04-12 13:00:00
2021-04-13 09:00:00,4,420,529,190,2021-04-12 13:00:00
2021-04-13 09:10:00,5,454,574,198,2021-04-12 13:00:00
2021-04-13 09:20:00,5,454,574,198,2021-04-12 13:00:00
2021-04-12 14:30:00,3,251,352,186,2021-04-12 14:00:00
2021-04-12 14:40:00,3,203,290,149,2021-04-12 14:00:00
2021-04-12 14:50:00,3,203,290,149,2021-04-12 14:00:00
2021-04-12 15:00:00,3,203,290,149,2021-04-12 14:00:00
2021-04-12 15:10:00,3,144,228,91,2021-04-12 14:00:00
2021-04-12 15:20:00,3,144,228,91,2021-04-12 14:00:00
2021-04-12 15:30:00,3,144,228,91,2021-04-12 14:00:00
2021-04-12 15:40:00,2,99,158,61,2021-04-12 14:00:00
2021-04-12 15:50:00,2,99,158,61,2021-04-12 14:00:00
2021-04-12 16:00:00,2,99,158,61,2021-04-12 14:00:00
2021-04-12 16:10:00,2,62,106,26,2021-04-12 14:00:00
2021-04-12 16:20:00,2,62,106,26,2021-04-12 14:00:00
2021-04-12 16:30:00,2,62,106,26,2021-04-12 14:00:00
